Feature,Importance
moderatelyactivedistance calories,0.34673667059263985
fairlyactiveminutes calories,0.2648173316352351
calories,0.055298808162052765
veryactivedistance calories,0.05366751966790212
totalsteps sedentaryminutes,0.020606159990952333
totalsteps calories,0.017878050502342924
lightactivedistance^2,0.013314952569245152
veryactiveminutes fairlyactiveminutes,0.011369207801558244
lightlyactiveminutes lightactivedistance,0.010109106524614152
lightlyactiveminutes sedentaryminutes,0.009757812221862536
fairlyactiveminutes,0.009379804509065242
veryactivedistance moderatelyactivedistance,0.009185424414346995
totalsteps,0.008645732251885759
veryactiveminutes sedentaryminutes,0.00858042438586983
moderatelyactivedistance,0.007276228059950705
sedentaryminutes calories,0.00704675470784818
veryactiveminutes calories,0.006253480314627664
sedentaryminutes^2,0.006249148396713678
calories^2,0.006102914036216893
veryactiveminutes lightactivedistance,0.005405121233464137
sedentaryminutes veryactivedistance,0.005343831447258266
fairlyactiveminutes sedentaryminutes,0.005065011457658117
totalsteps lightlyactiveminutes,0.005029181346417224
lightlyactiveminutes^2,0.00499131942023515
sedentaryminutes lightactivedistance,0.00491146255637343
lightlyactiveminutes calories,0.004807506309098116
sedentaryminutes moderatelyactivedistance,0.004732814444468638
fairlyactiveminutes lightactivedistance,0.004574255274783138
fairlyactiveminutes lightlyactiveminutes,0.004570820323786141
lightlyactiveminutes moderatelyactivedistance,0.0045156102884591105
totalsteps lightactivedistance,0.004231843680568298
lightactivedistance,0.004211370031456337
fairlyactiveminutes moderatelyactivedistance,0.00390673111829854
veryactiveminutes lightlyactiveminutes,0.003890267840777787
veryactiveminutes^2,0.0038557142111114687
veryactivedistance^2,0.003848418849227936
lightactivedistance moderatelyactivedistance,0.0037918583588136497
lightlyactiveminutes veryactivedistance,0.0037809164430816574
fairlyactiveminutes^2,0.0036853106542928324
veryactivedistance lightactivedistance,0.0036719053792183152
totalsteps^2,0.0035417225688211796
lightlyactiveminutes,0.003517379605440535
lightactivedistance calories,0.0033944824123890525
totalsteps moderatelyactivedistance,0.00332710373234281
totalsteps veryactiveminutes,0.002953929997200758
sedentaryminutes,0.002904105988305653
totalsteps fairlyactiveminutes,0.0025636784466178965
totalsteps veryactivedistance,0.002453137088078739
veryactiveminutes moderatelyactivedistance,0.0024478467953149377
fairlyactiveminutes veryactivedistance,0.002245084242491449
veryactivedistance,0.0016915589993205461
moderatelyactivedistance^2,0.0016660589970677506
veryactiveminutes,0.0011194684585897087
veryactiveminutes veryactivedistance,0.0010776412542404747
